time,symbol,signal,action,price,lots,sl_pips,tp_pips,order_result
2025-12-03 00:06:15.125693,USDJPYm,1,BUY,155.69,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022981412, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956264, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.7, stoplimit=0.0, sl=155.5, tp=156.1, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:06:45.288710,USDJPYm,1,BUY,155.694,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022982250, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956265, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.704, stoplimit=0.0, sl=155.50400000000002, tp=156.104, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:07:31.463458,USDJPYm,1,BUY,155.693,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022983511, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956266, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.698, stoplimit=0.0, sl=155.49800000000002, tp=156.098, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:08:02.935737,USDJPYm,1,BUY,155.693,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022984306, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956267, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.703, stoplimit=0.0, sl=155.50300000000001, tp=156.103, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:08:33.114010,USDJPYm,1,BUY,155.707,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022985515, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956268, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.717, stoplimit=0.0, sl=155.51700000000002, tp=156.11700000000002, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:09:03.246316,USDJPYm,1,BUY,155.714,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022986243, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956269, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.724, stoplimit=0.0, sl=155.524, tp=156.124, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:09:33.394697,USDJPYm,1,BUY,155.721,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022987072, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956270, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.731, stoplimit=0.0, sl=155.531, tp=156.131, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:10:03.527401,USDJPYm,1,BUY,155.713,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022987941, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956271, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.723, stoplimit=0.0, sl=155.52300000000002, tp=156.12300000000002, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:10:33.657482,USDJPYm,1,BUY,155.732,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022988603, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956272, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.742, stoplimit=0.0, sl=155.542, tp=156.142, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:11:03.779267,USDJPYm,1,BUY,155.74,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022989055, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956273, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.75, stoplimit=0.0, sl=155.55, tp=156.15, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
