time,symbol,signal,action,price,equity,lots,sl_pips,tp_pips,order_result
2025-12-01 19:06:50.779790,USDJPYm,-1,SELL,155.507,10020.97,0.01,40,5,"OrderSendResult(retcode=10009, deal=1577615560, order=2016700231, volume=0.01, price=155.512, bid=155.512, ask=155.522, comment='Phase4_Bot', request_id=2165430521, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.507, stoplimit=0.0, sl=155.907, tp=155.457, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 19:07:25.447264,USDJPYm,-1,SELL,155.511,10020.67,0.01,40,5,"OrderSendResult(retcode=10009, deal=1577617822, order=2016702505, volume=0.01, price=155.512, bid=155.512, ask=155.522, comment='Phase4_Bot', request_id=2165430522, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.511, stoplimit=0.0, sl=155.911, tp=155.46099999999998, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 19:08:19.961141,USDJPYm,-1,SELL,155.516,10020.27,0.01,40,5,"OrderSendResult(retcode=10009, deal=1577621781, order=2016706414, volume=0.01, price=155.516, bid=155.516, ask=155.52599999999998, comment='Phase4_Bot', request_id=2165430523, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.516, stoplimit=0.0, sl=155.916, tp=155.46599999999998, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 19:08:53.242502,USDJPYm,-1,SELL,155.512,10020.51,0.01,40,5,"OrderSendResult(retcode=10009, deal=1577623871, order=2016708498, volume=0.01, price=155.51500000000001, bid=155.51500000000001, ask=155.525, comment='Phase4_Bot', request_id=2165430524, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.512, stoplimit=0.0, sl=155.912, tp=155.462, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 19:09:24.203805,USDJPYm,-1,SELL,155.513,10020.37,0.01,40,5,"OrderSendResult(retcode=10009, deal=1577625581, order=2016710217, volume=0.01, price=155.514, bid=155.514, ask=155.524, comment='Phase4_Bot', request_id=2165430525, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.513, stoplimit=0.0, sl=155.913, tp=155.463, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 19:09:58.969480,USDJPYm,-1,SELL,155.516,10020.06,0.01,40,5,"OrderSendResult(retcode=10031, deal=0, order=0, volume=0.0, price=0.0, bid=0.0, ask=0.0, comment='Request rejected due to absence of network connection', request_id=2165430526, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.516, stoplimit=0.0, sl=155.916, tp=155.46599999999998, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 19:10:51.897850,USDJPYm,-1,SELL,155.516,10020.06,0.01,40,5,"OrderSendResult(retcode=10031, deal=0, order=0, volume=0.0, price=0.0, bid=0.0, ask=0.0, comment='Request rejected due to absence of network connection', request_id=0, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.516, stoplimit=0.0, sl=155.916, tp=155.46599999999998, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 19:11:21.941058,USDJPYm,-1,SELL,155.516,10020.06,0.01,40,5,"OrderSendResult(retcode=10031, deal=0, order=0, volume=0.0, price=0.0, bid=0.0, ask=0.0, comment='Request rejected due to absence of network connection', request_id=0, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.516, stoplimit=0.0, sl=155.916, tp=155.46599999999998, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 19:11:51.968522,USDJPYm,-1,SELL,155.516,10020.06,0.01,40,5,"OrderSendResult(retcode=10031, deal=0, order=0, volume=0.0, price=0.0, bid=0.0, ask=0.0, comment='Request rejected due to absence of network connection', request_id=0, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.516, stoplimit=0.0, sl=155.916, tp=155.46599999999998, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 19:12:21.997317,USDJPYm,-1,SELL,155.516,10020.06,0.01,40,5,"OrderSendResult(retcode=10031, deal=0, order=0, volume=0.0, price=0.0, bid=0.0, ask=0.0, comment='Request rejected due to absence of network connection', request_id=0, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.516, stoplimit=0.0, sl=155.916, tp=155.46599999999998, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 19:17:49.756257,USDJPYm,-1,SELL,155.516,10020.06,0.01,40,5,"OrderSendResult(retcode=10031, deal=0, order=0, volume=0.0, price=0.0, bid=0.0, ask=0.0, comment='Request rejected due to absence of network connection', request_id=0, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.516, stoplimit=0.0, sl=155.916, tp=155.46599999999998, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 19:18:19.796602,USDJPYm,-1,SELL,155.516,10020.06,0.01,40,5,"OrderSendResult(retcode=10031, deal=0, order=0, volume=0.0, price=0.0, bid=0.0, ask=0.0, comment='Request rejected due to absence of network connection', request_id=0, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.516, stoplimit=0.0, sl=155.916, tp=155.46599999999998, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 19:18:49.831041,USDJPYm,-1,SELL,155.516,10020.06,0.01,40,5,"OrderSendResult(retcode=10031, deal=0, order=0, volume=0.0, price=0.0, bid=0.0, ask=0.0, comment='Request rejected due to absence of network connection', request_id=0, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.516, stoplimit=0.0, sl=155.916, tp=155.46599999999998, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 19:19:19.872328,USDJPYm,-1,SELL,155.516,10020.06,0.01,40,5,"OrderSendResult(retcode=10031, deal=0, order=0, volume=0.0, price=0.0, bid=0.0, ask=0.0, comment='Request rejected due to absence of network connection', request_id=0, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.516, stoplimit=0.0, sl=155.916, tp=155.46599999999998, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 19:19:49.910095,USDJPYm,-1,SELL,155.516,10020.06,0.01,40,5,"OrderSendResult(retcode=10031, deal=0, order=0, volume=0.0, price=0.0, bid=0.0, ask=0.0, comment='Request rejected due to absence of network connection', request_id=0, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.516, stoplimit=0.0, sl=155.916, tp=155.46599999999998, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 19:20:19.941699,USDJPYm,-1,SELL,155.516,10020.06,0.01,40,5,"OrderSendResult(retcode=10031, deal=0, order=0, volume=0.0, price=0.0, bid=0.0, ask=0.0, comment='Request rejected due to absence of network connection', request_id=0, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.516, stoplimit=0.0, sl=155.916, tp=155.46599999999998, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 19:55:46.141830,USDJPYm,-1,SELL,155.516,10020.06,0.01,40,5,"OrderSendResult(retcode=10031, deal=0, order=0, volume=0.0, price=0.0, bid=0.0, ask=0.0, comment='Request rejected due to absence of network connection', request_id=0, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.516, stoplimit=0.0, sl=155.916, tp=155.46599999999998, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 20:46:16.524786,USDJPYm,-1,SELL,155.516,10020.06,0.01,40,5,"OrderSendResult(retcode=10031, deal=0, order=0, volume=0.0, price=0.0, bid=0.0, ask=0.0, comment='Request rejected due to absence of network connection', request_id=0, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.516, stoplimit=0.0, sl=155.916, tp=155.46599999999998, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 20:46:46.589488,USDJPYm,-1,SELL,155.516,10020.06,0.01,40,5,"OrderSendResult(retcode=10031, deal=0, order=0, volume=0.0, price=0.0, bid=0.0, ask=0.0, comment='Request rejected due to absence of network connection', request_id=0, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.516, stoplimit=0.0, sl=155.916, tp=155.46599999999998, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 20:47:16.622562,USDJPYm,-1,SELL,155.516,10020.06,0.01,40,5,"OrderSendResult(retcode=10031, deal=0, order=0, volume=0.0, price=0.0, bid=0.0, ask=0.0, comment='Request rejected due to absence of network connection', request_id=0, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.516, stoplimit=0.0, sl=155.916, tp=155.46599999999998, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 20:47:46.654014,USDJPYm,-1,SELL,155.516,10020.06,0.01,40,5,"OrderSendResult(retcode=10031, deal=0, order=0, volume=0.0, price=0.0, bid=0.0, ask=0.0, comment='Request rejected due to absence of network connection', request_id=0, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.516, stoplimit=0.0, sl=155.916, tp=155.46599999999998, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 20:52:54.378338,USDJPYm,-1,SELL,155.516,10020.06,0.01,40,5,"OrderSendResult(retcode=10031, deal=0, order=0, volume=0.0, price=0.0, bid=0.0, ask=0.0, comment='Request rejected due to absence of network connection', request_id=0, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.516, stoplimit=0.0, sl=155.916, tp=155.46599999999998, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
